date,open,high,low,close,volume,return,volatility_20d
2000-05-29,1885.546,1900.674,1882.742,1898.748,1804426200,0.010178137354578176,0.013989170167634783
2000-05-30,1903.53,1908.306,1868.61,1877.471,1651899000,-0.01120580508840563,0.014265568463745666
2000-05-31,1875.463,1894.583,1869.338,1894.554,1576923500,0.009098942140784105,0.014364544340417349
2000-06-01,1900.533,1906.817,1889.995,1903.488,1465458300,0.004715621724163066,0.013875583995266354
2000-06-02,1906.162,1916.25,1897.713,1916.25,1784035200,0.00670453399233395,0.013541309066300744
2000-06-05,1921.969,1930.335,1889.815,1899.092,2921753600,-0.008953946510110833,0.013765845424786982
2000-06-06,1898.591,1925.552,1891.665,1925.544,1719005100,0.013928761745086504,0.013328165255812291
2000-06-07,1934.376,1940.22,1921.383,1935.031,1557941700,0.004926919353699377,0.01080746534556312
2000-06-08,1937.195,1938.554,1913.365,1925.206,1632980400,-0.005077438035876458,0.009890521713891197
2000-06-09,1926.15,1929.946,1896.061,1900.787,1493337000,-0.012683837469860348,0.010585696587977051
2000-06-12,1896.428,1912.589,1884.616,1912.557,1204009400,0.006192171979290784,0.010032266848705364
2000-06-13,1918.192,1938.674,1917.19,1938.674,1442765300,0.013655540723753523,0.010101748486613306
2000-06-14,1944.44,1949.171,1929.706,1932.29,1615631700,-0.0032929724131030014,0.010243387475080398
2000-06-15,1933.059,1942.326,1925.914,1942.285,1411676000,0.005172619016814206,0.009739781639836322
2000-06-16,1945.698,1947.463,1919.403,1926.944,1470755200,-0.00789842891233783,0.010042876350703039
2000-06-19,1924.693,1926.981,1910.469,1915.205,1188112600,-0.006092029659398479,0.00879515251525812
2000-06-20,1913.074,1913.074,1888.082,1895.348,1013609600,-0.010368080701543714,0.009238022602184748
2000-06-21,1894.779,1913.147,1894.634,1913.131,834891100,0.00938244586218473,0.009053570891972163
2000-06-22,1918.164,1921.148,1906.304,1913.901,905959200,0.00040248158646738474,0.00860117280629679
2000-06-23,1915.307,1939.634,1913.65,1939.627,1199891800,0.013441656595612805,0.00903389349408085
2000-06-26,1946.698,1953.339,1943.248,1948.639,1406804400,0.004646254150926898,0.008840410430055054
2000-06-27,1949.778,1952.455,1938.135,1942.898,1198004700,-0.0029461588318820953,0.008405992558069673
2000-06-28,1943.984,1953.064,1940.054,1947.481,1123954100,0.0023588474536491155,0.008229010029348862
2000-06-29,1949.847,1951.126,1924.473,1937.261,1191984200,-0.005247804728261807,0.008319495675542158
2000-06-30,1937.843,1941.402,1924.969,1928.106,1246757800,-0.004725744233740281,0.008293235955441739
2000-07-03,1917.442,1917.447,1890.528,1895.637,1578473600,-0.01683984179293052,0.008922043687707217
2000-07-04,1891.205,1907.944,1888.249,1907.931,1440782000,0.006485418885577854,0.008450917258431442
2000-07-05,1910.42,1918.909,1904.468,1909.187,1302943400,0.0006583047290493749,0.008362063758240534
2000-07-06,1909.237,1910.054,1896.659,1902.552,993114100,-0.003475301266979036,0.008324896335084151
2000-07-07,1904.085,1932.829,1904.085,1932.792,1168290400,0.01589444073013513,0.008582805254222142
2000-07-10,1938.843,1948.063,1932.955,1948.021,1452462500,0.007879275162562704,0.00864592340245737
2000-07-11,1952.259,1960.595,1947.666,1960.541,1443839200,0.006427035437502893,0.008228027035631505
2000-07-12,1965.231,1974.414,1960.349,1973.374,1391952500,0.006545642248746653,0.0082774233921432
2000-07-13,1978.552,1984.066,1963.553,1979.201,1816211300,0.002952810769778047,0.008234500469559515
2000-07-14,1981.776,1987.223,1972.622,1987.192,1621586000,0.004037487854947619,0.007986413327506948
2000-07-17,1992.894,1997.938,1980.223,1982.479,1350878700,-0.0023716882918207727,0.007840532149141254
2000-07-18,1982.497,1993.994,1981.736,1993.986,878002300,0.005804348999409292,0.007342361207288017
2000-07-19,2000.33,2004.461,1987.42,1998.426,970837300,0.0022266956738912214,0.007164895525210756
2000-07-20,1999.089,2003.802,1979.875,1991.56,928287700,-0.003435703898968523,0.007266474937603295
2000-07-21,1994.423,1998.347,1991.838,1996.336,859313900,0.0023981200666813862,0.006754061001392184
2000-07-24,1998.245,1999.903,1982.881,1989.239,927517800,-0.003555012783419187,0.006799473540734003
2000-07-25,1990.149,1997.849,1989.086,1996.577,875170100,0.003688847845834564,0.006755776523458315
2000-07-26,1999.442,2012.395,1999.403,2012.319,951206800,0.0078844943120151,0.00690893703009799
2000-07-27,2017.457,2024.998,2004.549,2012.35,1198327300,1.540511221120866e-05,0.006729823308765845
2000-07-28,2014.113,2016.94,2006.172,2012.793,1094381500,0.0002201406315998078,0.006561343839729272
2000-07-31,2016.144,2023.568,2008.637,2023.539,1230729200,0.005338850045682797,0.004822946672799311
2000-08-01,2027.013,2031.925,2023.453,2028.151,902065500,0.002279175246931331,0.004767245936916325
2000-08-02,2030.789,2033.191,2018.481,2030.683,897428600,0.001248427755132564,0.0047533350775424725
2000-08-03,2032.937,2038.654,2030.101,2036.301,1097299000,0.002766556867812353,0.004496876525996314
2000-08-04,2037.468,2041.283,2013.45,2026.361,1173918600,-0.004881400146638404,0.0038086782287076472
2000-08-07,2025.182,2039.419,2017.903,2039.419,1071271400,0.006444064014260009,0.003711769590501676
2000-08-08,2042.745,2050.073,2040.783,2049.916,1086461200,0.005147054136496854,0.003647372555134576
2000-08-09,2051.654,2061.284,2048.494,2061.18,1226967100,0.005494859301551802,0.0035891558227029796
2000-08-10,2065.305,2067.745,2053.861,2065.943,1322559300,0.0023108122531756425,0.0035847973220572127
2000-08-11,2067.784,2070.298,2055.2,2062.666,1136176000,-0.0015862005873347185,0.003649185642180267
2000-08-14,2065.935,2076.328,2065.935,2076.3,1080668500,0.006609892246248306,0.0036521211462874938
2000-08-15,2079.069,2082.736,2066.16,2076.823,1034044800,0.00025189038192929836,0.003583790076210357
2000-08-16,2078.485,2083.467,2072.984,2083.467,1064598200,0.003199117113013683,0.0035929930330305
2000-08-17,2086.809,2092.329,2086.559,2091.586,1111404800,0.003896869976822037,0.003366214024991832
2000-08-18,2093.632,2097.315,2086.754,2090.183,1034095500,-0.0006707828413461403,0.0034382905801615044
2000-08-21,2095.378,2108.879,2093.418,2108.69,1351556100,0.008854248647128138,0.003444787224258992
2000-08-22,2112.017,2114.522,2074.52,2074.703,1316762200,-0.01611758959353915,0.005467179751136704
2000-08-23,2064.045,2080.144,1980.345,2057.919,1889864800,-0.00808983261700591,0.005713613776120636
2000-08-24,2058.529,2073.947,2043.206,2071.161,1374608400,0.006434655591400995,0.005826502631013837
2000-08-25,2073.715,2086.721,2066.329,2086.703,1023534200,0.007504003793041614,0.005970939947231689
2000-08-28,2092.122,2100.7,2085.601,2100.585,1121621900,0.0066525998189488345,0.00601870425240131
2000-08-29,2103.033,2105.634,2094.609,2105.476,1003861200,0.0023283989936138116,0.0060188829428938625
2000-08-30,2107.019,2108.097,2075.16,2076.143,1004270200,-0.013931766498407105,0.006983828222755223
2000-08-31,2062.835,2064.76,2019.447,2021.199,1122430800,-0.026464458373050337,0.009298577958012828
2000-09-01,2009.151,2026.351,1997.717,1999.859,931539000,-0.010558089530026571,0.009528591658025717
2000-09-04,1994.885,2010.602,1981.229,2010.602,763882000,0.005371878717449707,0.009489725797860952
2000-09-05,2015.062,2020.847,1959.592,1963.792,717958300,-0.023281584321511728,0.010633081574764879
2000-09-06,1955.499,1964.265,1923.598,1925.907,720582700,-0.01929175798658922,0.011135197242367195
2000-09-07,1929.296,1963.228,1929.296,1950.663,624957200,0.012854203240343365,0.011653749644254361
2000-09-08,1955.153,1963.891,1945.918,1959.312,572772000,0.004433877097171468,0.011764021841584135
2000-09-11,1963.271,1972.076,1956.078,1972.043,616319800,0.006497688984704819,0.011759474274685369
2000-09-12,1975.412,1979.322,1965.401,1979.095,543594200,0.003575986933347819,0.011823824590794976
2000-09-13,1980.528,1995.317,1975.126,1988.936,603444100,0.0049724747927712976,0.011874092484220538
2000-09-14,1989.974,1992.366,1973.021,1979.505,510427700,-0.0047417312573153625,0.011795529452513632
