排名,板块名称,板块代码,最新价,涨跌额,涨跌幅,总市值,换手率,上涨家数,下跌家数,领涨股票,领涨股票-涨跌幅
22,游戏Ⅲ,BK1301,1470.66,46.1,3.24,508452496000,1.83,24,1,完美世界,10.02
23,氨纶,BK1412,2638.67,82.23,3.22,52553339000,0.72,1,0,华峰化学,3.22
24,航空运输,BK1479,1550.14,48.34,3.22,565386368000,0.92,8,0,中国东航,7.29
25,个护用品,BK1251,746.25,22.79,3.15,88100694000,1.51,13,0,两面针,10.05
26,房产租赁经纪,BK1341,1658.75,50.55,3.14,22441998000,2.65,2,1,宁波富达,10.08
27,其他自动化设备,BK1410,6529.64,193.84,3.06,259017819000,1.93,24,2,智立方,18.1
28,酒店餐饮,BK1271,2620.03,77.39,3.04,87106282000,1.76,10,0,锦江酒店,8.37
29,原料药,BK1595,3947.42,114.16,2.98,364113376000,2.89,44,2,津药药业,9.92
30,诊断服务,BK1602,5721.99,165.58,2.98,49339683000,1.92,5,0,迪安诊断,3.9
31,体外诊断,BK1603,3743.32,107.94,2.97,279121360000,1.57,38,2,九安医疗,10.0
32,疫苗,BK1598,4468.28,128.97,2.97,241414276000,1.23,14,0,智飞生物,6.08
33,集成电路封测,BK1328,6668.0,188.4,2.91,286913408000,1.9,13,0,甬矽电子,8.88
34,医疗美容,BK1253,1214.56,34.32,2.91,81311788000,1.17,3,1,锦波生物,9.53
35,镍,BK1622,7156.61,196.72,2.83,114543373000,2.42,1,0,华友钴业,2.83
36,被动元件,BK1339,8959.1,246.88,2.83,301306240000,2.55,16,3,晶赛科技,11.88
37,医疗设备,BK1605,6248.34,170.65,2.81,617549504000,1.46,42,1,海泰新光,10.88
38,钼,BK1623,1335.18,36.31,2.8,108968409000,2.53,1,1,金钼股份,2.74
39,光学元件,BK1334,13383.29,358.2,2.75,324010576000,1.7,24,2,波长光电,9.68
40,半导体,BK1036,2092.14,55.56,2.73,7529969408000,1.66,168,5,派瑞股份,10.8
41,激光设备,BK1409,13855.16,368.41,2.73,251648210000,2.5,10,0,杰普特,7.58
42,航运,BK1482,1637.22,43.4,2.72,735213632000,1.6,19,1,锦江航运,10.04
43,医疗器械,BK1041,1003.58,26.33,2.69,1368333440000,1.61,130,7,九安医疗,10.0
44,通信网络设备及器件,BK1591,12350.92,312.3,2.59,2202537536000,2.65,30,5,铭普光磁,10.02
45,半导体材料,BK1325,8284.56,207.81,2.57,579825248000,1.36,27,0,强一股份,6.61
46,数字芯片设计,BK1331,21575.82,533.51,2.54,3321352640000,1.94,48,3,芯原股份,8.75
47,清洁小家电,BK1459,2356.6,57.26,2.49,115544974000,1.15,7,0,富佳股份,5.31
48,玻璃玻纤,BK0546,59410.56,1418.33,2.45,404625520000,2.57,13,4,山东玻纤,10.01
49,航空机场,BK0420,4727.73,112.86,2.45,721198080000,0.85,12,1,中国东航,7.29
50,美容护理,BK1035,1025.94,24.48,2.44,297820272000,1.21,29,3,两面针,10.05
51,纺织鞋类制造,BK1347,508.75,11.99,2.41,52001520000,0.1,1,0,华利集团,2.41
52,医疗耗材,BK1604,4705.6,110.26,2.4,471662592000,1.77,50,4,康拓医疗,16.27
53,冰洗,BK1449,2116.0,49.02,2.37,250863068000,1.39,8,1,深康佳Ａ,6.1
54,钴,BK1620,1184.35,27.31,2.36,31257412000,1.71,2,0,腾远钴业,2.55
55,模拟芯片设计,BK1330,5554.66,128.13,2.36,495269568000,1.5,34,1,富满微,6.93
56,油气及炼化工程,BK1572,2095.78,48.15,2.35,84015406000,1.91,4,2,博迈科,10.01
57,自动化设备,BK1237,10004.57,228.69,2.34,1143709936000,1.38,81,4,智立方,18.1
58,磁性材料,BK1618,5425.08,123.19,2.32,173298352000,1.44,13,1,龙磁科技,8.76
59,半导体设备,BK1326,30269.1,684.91,2.32,1213574352000,1.16,21,1,中科飞测,4.4
60,电子,BK1201,10640.95,241.28,2.32,14613159680000,1.83,455,41,奥瑞德,10.0
61,铜,BK1615,3658.72,83.09,2.32,1896100816000,1.56,13,4,盛屯矿业,6.47
62,印染,BK1351,1594.15,34.11,2.19,17058930000,1.29,3,1,迎丰股份,4.71
63,白色家电,BK1239,3403.35,72.46,2.18,1077907152000,0.86,11,1,深康佳Ａ,6.1
64,保险Ⅲ,BK1358,1385.23,29.28,2.16,2986695168000,0.22,5,0,中国太保,3.26
65,保险Ⅱ,BK0474,1385.23,29.28,2.16,2986695168000,0.22,5,0,中国太保,3.26
66,橡胶助剂,BK1443,4039.68,84.49,2.14,36185949000,0.81,2,0,阳谷华泰,2.24
67,机器人,BK1408,8445.61,175.46,2.12,186054375000,0.96,18,1,绿的谐波,7.99
68,改性塑料,BK1437,6451.42,131.73,2.08,155389899000,1.39,20,2,星辉环材,20.0
69,文字媒体,BK1298,2905.05,58.41,2.05,30844680000,4.43,2,0,掌阅科技,2.15
70,自然景区,BK1563,3306.69,65.89,2.03,71056334000,1.95,12,1,九华旅游,5.94
71,合成树脂,BK1438,8570.09,169.36,2.02,157566938000,9.09,11,1,圣泉集团,6.21
72,贵金属,BK0732,2836.64,54.97,1.98,781224800000,2.45,10,3,赤峰黄金,4.91
73,黄金,BK1617,7321.4,141.94,1.98,645983456000,1.97,8,2,赤峰黄金,4.91
74,家纺,BK1353,4484.11,85.85,1.95,34987996000,1.11,6,1,真爱美家,7.53
75,品牌化妆品,BK1498,1509.49,28.91,1.95,96964116000,0.96,7,1,上海家化,5.89
76,其他黑色家电,BK1454,2973.77,56.74,1.95,47947674000,0.92,5,1,极米科技,5.84
77,白银,BK1616,5985.43,113.69,1.94,135195362000,4.26,2,1,兴业银锡,3.33
78,厨房电器,BK1451,9845.59,187.78,1.94,43145190000,2.54,5,1,亿田智能,10.14
79,其他电源设备Ⅱ,BK1034,3026.04,57.2,1.93,703985200000,1.54,28,3,东方电气,8.1
80,轮胎轮毂,BK1527,3178.7,60.01,1.92,265868914000,1.13,20,1,赛轮轮胎,6.84
81,小家电,BK1244,2424.35,45.73,1.92,219185935000,1.01,20,2,彩虹集团,5.99
82,中药Ⅲ,BK1608,1430.01,26.53,1.89,846937760000,1.43,61,4,益佰制药,10.1
83,非金属材料Ⅱ,BK1020,1918.45,35.62,1.89,103420776000,1.93,12,0,联瑞新材,4.71
84,非金属材料Ⅲ,BK1411,1918.45,35.62,1.89,103420776000,1.93,12,0,联瑞新材,4.71
85,消费电子零部件及组装,BK1338,12408.34,230.03,1.89,2713046496000,1.37,78,9,华勤技术,10.0
86,中药Ⅱ,BK1040,1430.01,26.53,1.89,846937760000,1.43,61,4,益佰制药,10.1
87,稀土,BK1626,9532.65,176.12,1.88,294094416000,1.78,4,0,中稀有色,2.56
88,血液制品,BK1597,5190.41,95.14,1.87,102593313000,0.39,6,0,博晖创新,2.74
89,其他专用设备,BK1405,5477.98,100.14,1.86,775077072000,1.69,82,9,汇成真空,20.0
90,其他电源设备Ⅲ,BK1322,8837.72,159.48,1.84,418630576000,1.74,22,3,恒运昌,7.61
91,纸包装,BK1535,2192.44,39.41,1.83,133074832000,3.75,16,5,大胜达,10.0
92,黑色家电,BK1241,4334.6,77.43,1.82,164608876000,1.06,8,1,极米科技,5.84
93,车身附件及饰件,BK1525,5608.84,99.67,1.81,536402656000,1.03,40,2,华懋科技,8.12
94,聚氨酯,BK1426,3861.76,67.91,1.79,298437360000,1.66,9,0,万华化学,4.3
95,消费电子,BK1037,1921.01,33.84,1.79,2996255504000,1.35,87,11,华勤技术,10.0
96,电子化学品Ⅲ,BK1332,2349.99,41.0,1.78,486252656000,2.38,30,4,思泉新材,8.04
97,电子化学品Ⅱ,BK1039,2349.99,41.0,1.78,486252656000,2.38,30,4,思泉新材,8.04
98,光伏辅材,BK1316,2875.96,49.88,1.76,199552891000,2.4,16,2,安彩高科,3.88
99,蓄电池及其他电池,BK1306,2658.52,45.66,1.75,97621644000,4.12,8,2,圣阳股份,9.99
100,特钢Ⅱ,BK1227,2324.12,39.65,1.74,220882439000,0.6,11,1,金洲管道,4.78
101,图片媒体,BK1297,3448.25,59.1,1.74,14305791000,2.23,1,0,视觉中国,1.74
102,特钢Ⅲ,BK1370,2324.12,39.65,1.74,220882439000,0.6,11,1,金洲管道,4.78
103,通信应用增值服务,BK1589,5088.39,87.05,1.74,299583280000,4.56,17,0,润泽科技,4.27
104,工控设备,BK1407,5698.41,96.69,1.73,446989520000,1.05,29,1,中控技术,5.48
105,横向通用软件,BK1448,7011.5,118.52,1.72,592980816000,1.1,34,1,鼎捷数智,3.92
106,光学光电子,BK1038,1967.09,33.35,1.72,1302355856000,1.82,82,14,奥瑞德,10.0
107,餐饮,BK1559,1686.51,28.28,1.71,14162216000,1.66,4,0,同庆楼,1.15
108,化妆品,BK1252,2189.55,36.81,1.71,128407790000,1.02,13,2,上海家化,5.89
109,旅游及景区,BK1272,3458.06,57.37,1.69,159247106000,1.72,21,5,岭南控股,5.95
110,文化用品,BK1542,3086.84,51.26,1.69,43420117000,0.68,5,0,齐心集团,2.33
111,家用电器,BK0456,24413.07,400.38,1.67,2032589328000,1.26,94,11,亿田智能,10.14
112,电机Ⅲ,BK1307,2565.34,41.78,1.66,284350544000,1.81,24,2,神力股份,9.98
113,电机Ⅱ,BK1030,2565.34,41.78,1.66,284350544000,1.81,24,2,神力股份,9.98
114,电工仪器仪表,BK1308,2868.84,46.78,1.66,95464333000,1.43,14,0,华盛昌,4.82
115,光伏主材,BK1318,14550.95,236.29,1.65,226259589000,1.15,3,0,弘元绿能,2.23
116,涤纶,BK1413,1897.88,30.81,1.65,84846046000,1.92,9,1,新凤鸣,5.91
117,通信设备,BK0448,21833.76,353.45,1.65,3280371856000,3.44,70,19,铭普光磁,10.02
118,人力资源服务,BK1568,2155.54,34.91,1.65,25626766000,0.57,2,1,科锐国际,3.33
119,制冷空调设备,BK1400,4323.16,70.13,1.65,144225996000,3.12,15,3,佳力图,10.01
120,旅游综合,BK1561,2121.61,34.41,1.65,48289592000,2.16,6,2,岭南控股,5.95
121,其他石化,BK1570,3360.07,53.93,1.63,125199756000,2.04,11,2,齐翔腾达,9.12
122,电商服务,BK1546,2348.34,37.7,1.63,44239268000,1.88,6,1,若羽臣,7.46
123,其他电子Ⅲ,BK1336,13285.83,211.83,1.62,383866720000,3.24,28,4,创益通,9.01
124,其他电子Ⅱ,BK1223,13285.83,211.83,1.62,383866720000,3.24,28,4,创益通,9.01
125,工程咨询服务Ⅱ,BK0726,854.98,13.6,1.62,224814575000,2.28,42,5,苏交科,7.52
126,工程咨询服务Ⅲ,BK1471,854.98,13.6,1.62,224814575000,2.28,42,5,苏交科,7.52
127,IT服务Ⅲ,BK1444,9135.27,145.64,1.62,1558903648000,2.58,110,24,美利云,9.99
128,IT服务Ⅱ,BK1238,9135.27,145.64,1.62,1558903648000,2.58,110,24,美利云,9.99
129,彩电,BK1453,4412.77,69.52,1.6,116615039000,1.1,3,0,海信视像,2.82
130,空调,BK1450,13066.78,204.13,1.59,827044080000,0.37,3,0,海信家电,3.85
131,通信,BK1215,7500.88,117.13,1.59,6387622400000,1.47,105,24,铭普光磁,10.02
132,房地产综合服务,BK1342,1948.86,30.57,1.59,5640978000,2.24,1,0,珠江股份,1.59
133,照明设备Ⅱ,BK1245,2684.88,41.63,1.57,85226484000,1.2,14,0,联域股份,4.39
134,照明设备Ⅲ,BK1460,2684.88,41.63,1.57,85226484000,1.2,14,0,联域股份,4.39
135,面板,BK1335,3005.83,46.08,1.56,701518272000,1.51,34,7,奥瑞德,10.0
136,塑料,BK0454,20363.4,312.97,1.56,664218672000,3.77,63,14,星辉环材,20.0
137,环保设备Ⅱ,BK1234,3562.08,54.29,1.55,156330301000,3.05,22,5,华宏科技,10.03
138,锂电专用设备,BK1304,25627.16,391.21,1.55,203280044000,1.54,16,2,骄成超声,9.13
139,环保设备Ⅲ,BK1387,3562.08,54.29,1.55,156330301000,3.05,22,5,华宏科技,10.03
140,医院,BK1601,7314.65,110.59,1.54,223092264000,1.52,13,1,盈康生命,3.96
141,通信终端及配件,BK1593,3941.46,59.68,1.54,384673392000,2.38,24,4,瑞斯康达,9.89
142,医药流通,BK1607,2292.58,34.7,1.54,258156140000,2.17,19,5,海王生物,9.87
143,塑料包装,BK1533,4625.81,69.68,1.53,42701149000,1.33,7,1,金富科技,6.29
144,纺织化学制品,BK1423,1516.64,22.82,1.53,100091699000,1.58,12,1,浙江龙盛,4.0
145,动物保健Ⅲ,BK1501,4720.01,71.15,1.53,70368990000,0.88,11,2,回盛生物,4.07
146,动物保健Ⅱ,BK1254,4720.01,71.15,1.53,70368990000,0.88,11,2,回盛生物,4.07
147,光伏设备,BK1031,1529.05,22.95,1.52,1772805648000,3.77,56,13,拉普拉斯,11.17
148,食品及饲料添加剂,BK1429,2557.33,38.19,1.52,303937216000,0.99,21,3,华恒生物,5.22
149,化学工程,BK1476,2766.32,41.04,1.51,82149934000,1.39,6,0,利柏特,2.44
150,视频媒体,BK1296,993.18,14.73,1.51,39116772000,0.66,1,0,芒果超媒,1.5
151,生活用纸,BK1495,1409.63,20.85,1.5,65464212000,1.24,9,0,延江股份,4.13
152,燃料电池,BK1305,388.14,5.72,1.5,6366884000,1.35,1,0,亿华通-U,1.5
153,其他化学制品,BK1428,4303.15,63.21,1.49,486828624000,1.86,68,11,凌玮科技,11.11
154,鞋帽及其他,BK1354,678.45,9.93,1.49,41217818000,1.39,9,2,天创时尚,3.79
155,其他酒类,BK1578,1572.98,23.01,1.48,69441347000,1.14,6,4,会稽山,9.98
156,其他专业工程,BK1477,4099.12,59.4,1.47,262512925000,2.93,15,5,柏诚股份,9.98
157,计算机,BK1207,8699.95,124.06,1.45,4537335552000,1.95,308,49,美利云,9.99
158,汽车零部件,BK0481,49307.03,703.68,1.45,2861674784000,1.48,226,39,华培动力,9.99
159,医药商业,BK1042,1215.82,17.4,1.45,345002928000,1.96,27,5,海王生物,9.87
160,通信服务,BK0736,1189.78,17.04,1.45,3107250656000,0.77,35,5,世纪鼎利,4.69
161,专用设备,BK0910,3603.82,51.34,1.45,1657314384000,1.43,173,28,卓郎智能,9.89
162,家电零部件Ⅱ,BK1242,5169.41,73.54,1.44,411649200000,1.99,32,4,宏昌科技,7.95
163,家电零部件Ⅲ,BK1455,5169.41,73.54,1.44,411649200000,1.99,32,4,宏昌科技,7.95
164,防水材料,BK1465,7895.66,111.17,1.43,49527421000,1.07,3,0,东方雨虹,2.09
165,化妆品制造及其他,BK1497,2661.3,37.59,1.43,31443673000,1.11,6,1,力合科创,3.75
166,安防设备,BK1445,5211.81,72.83,1.42,476014784000,0.51,24,3,中润光学,5.74
167,汽车电子电气系统,BK1529,3963.56,55.56,1.42,486966416000,1.42,34,6,威迈斯,6.78
168,软件开发,BK0737,1177.98,16.21,1.4,1735992544000,1.72,123,12,佳发教育,6.07
169,仪器仪表,BK0458,19245.05,266.64,1.4,368495152000,1.35,55,6,埃科光电,10.64
