target,family,horizon,model,best_params,train_r2,test_r2_os,test_rmse,test_mae,unstable,note
future_absret_60,absret,60,Macro_Ridge,alpha=10000,0.1517,-0.1277,0.002379,0.002006,False,
future_absret_60,absret,60,Macro_PCR,n_components=1,0.0614,-0.242,0.002497,0.002136,False,
future_absret_60,absret,60,Factor_OLS,,0.1986,-0.9569,0.003135,0.002797,False,
future_absret_60,absret,60,Factor_Ridge,alpha=10000,0.0595,-0.276,0.002531,0.002216,False,
future_absret_60,absret,60,HAR_OLS,,0.467,-0.2258,0.002481,0.001989,False,
future_absret_60,absret,60,HAR_Ridge,alpha=10000,0.2118,-0.1834,0.002438,0.0021,False,
future_absret_60,absret,60,HARplusMacro_Ridge,alpha=10000,0.3,-0.0658,0.002313,0.001922,False,
future_upratio_60,upratio,60,Macro_SummaryOLS,,0.2478,-0.7989,0.103824,0.082552,False,
future_upratio_60,upratio,60,Macro_Ridge,alpha=10000,0.0684,-0.2826,0.087667,0.069586,False,
future_upratio_60,upratio,60,Macro_PCR,n_components=2,0.0231,-0.253,0.086649,0.068312,False,
future_upratio_60,upratio,60,Factor_OLS,,0.1274,-0.7326,0.101893,0.079552,False,
future_upratio_60,upratio,60,Factor_Ridge,alpha=1000,0.0937,-0.4395,0.092875,0.072604,False,
future_upratio_60,upratio,60,HAR_OLS,,0.0217,-0.2237,0.085631,0.069331,False,
future_upratio_60,upratio,60,HAR_Ridge,alpha=10000,0.0083,-0.2426,0.086289,0.069315,False,
future_upratio_60,upratio,60,HARplusMacro_Ridge,alpha=10000,0.0755,-0.2704,0.08725,0.069399,False,
future_signbalance_60,signbalance,60,Macro_SummaryOLS,,0.2478,-0.7989,0.207648,0.165105,False,
future_signbalance_60,signbalance,60,Macro_Ridge,alpha=10000,0.0684,-0.2826,0.175334,0.139171,False,
future_signbalance_60,signbalance,60,Macro_PCR,n_components=2,0.0231,-0.253,0.173298,0.136625,False,
future_signbalance_60,signbalance,60,Factor_OLS,,0.1274,-0.7326,0.203786,0.159104,False,
future_signbalance_60,signbalance,60,Factor_Ridge,alpha=1000,0.0937,-0.4395,0.18575,0.145208,False,
future_signbalance_60,signbalance,60,HAR_OLS,,0.0217,-0.2237,0.171262,0.138662,False,
future_signbalance_60,signbalance,60,HAR_Ridge,alpha=10000,0.0083,-0.2426,0.172579,0.13863,False,
future_signbalance_60,signbalance,60,HARplusMacro_Ridge,alpha=10000,0.0755,-0.2704,0.174499,0.138798,False,
