target,model,feature,coefficient
future_absret_5,Factor_OLS,policy_factor_avg12,0.00061
future_absret_5,Factor_OLS,fx_factor_m1,0.000146
future_absret_5,Factor_OLS,fx_factor_avg12,-0.002041
future_absret_5,Factor_Ridge,price_factor_m1,-7.3e-05
future_absret_5,Factor_Ridge,price_factor_avg12,-0.000474
future_absret_5,Factor_Ridge,money_factor_m1,4.2e-05
future_absret_5,Factor_Ridge,money_factor_avg12,0.000139
future_absret_5,Factor_Ridge,policy_factor_m1,-4e-06
future_absret_5,Factor_Ridge,policy_factor_avg12,-3.7e-05
future_absret_5,Factor_Ridge,fx_factor_m1,-8.6e-05
future_absret_5,Factor_Ridge,fx_factor_avg12,-0.000219
future_absret_5,HAR_OLS,past_absret_5,0.148616
future_absret_5,HAR_OLS,past_absret_20,0.371364
future_absret_5,HAR_OLS,past_absret_60,0.168038
future_absret_5,HAR_Ridge,past_absret_5,0.141324
future_absret_5,HAR_Ridge,past_absret_20,0.200542
future_absret_5,HAR_Ridge,past_absret_60,0.187164
future_absret_5,HARplusMacro_Ridge,past_absret_5,0.114881
future_absret_5,HARplusMacro_Ridge,past_absret_20,0.167597
future_absret_5,HARplusMacro_Ridge,past_absret_60,0.138178
future_absret_5,HARplusMacro_Ridge,cpi_yoy_m1,6.7e-05
future_absret_5,HARplusMacro_Ridge,cpi_yoy_avg12,5.2e-05
future_absret_5,HARplusMacro_Ridge,cpi_delta1_m1,-0.000186
future_absret_5,HARplusMacro_Ridge,cpi_delta1_avg12,0.004271
future_absret_5,HARplusMacro_Ridge,ppi_yoy_m1,-9.6e-05
future_absret_5,HARplusMacro_Ridge,ppi_yoy_avg12,-9.1e-05
future_absret_5,HARplusMacro_Ridge,ppi_delta1_m1,0.00014
future_absret_5,HARplusMacro_Ridge,ppi_delta1_avg12,-0.004976
future_absret_5,HARplusMacro_Ridge,m2_yoy_m1,-3.8e-05
future_absret_5,HARplusMacro_Ridge,m2_yoy_avg12,-0.000101
future_absret_5,HARplusMacro_Ridge,m2_delta1_m1,-0.000304
future_absret_5,HARplusMacro_Ridge,m2_delta1_avg12,0.008866
future_absret_5,HARplusMacro_Ridge,epu_log_m1,2e-06
future_absret_5,HARplusMacro_Ridge,epu_log_avg12,-0.000216
future_absret_5,HARplusMacro_Ridge,epu_log_delta1_m1,0.000533
future_absret_5,HARplusMacro_Ridge,epu_log_delta1_avg12,0.013323
future_absret_5,HARplusMacro_Ridge,fx_log_m1,-0.00707
future_absret_5,HARplusMacro_Ridge,fx_log_avg12,-0.008928
future_absret_5,HARplusMacro_Ridge,fx_ret1_m1,0.027461
future_absret_5,HARplusMacro_Ridge,fx_ret1_avg12,0.513927
