Window,Model,Variable,Coefficient/Importance
R_5d,ElasticNet_15dim,epu_m1,0.0
R_5d,ElasticNet_15dim,epu_m3avg,0.0
R_5d,ElasticNet_15dim,epu_m12avg,0.0
R_5d,ElasticNet_15dim,usd_cny_m1,0.0
R_5d,ElasticNet_15dim,usd_cny_m3avg,0.001584810486411272
R_5d,ElasticNet_15dim,usd_cny_m12avg,0.0
R_5d,PCR_60dim,cpi_lagm1,3.969106426453169e-05
R_5d,PCR_60dim,cpi_lagm2,4.730409777975758e-05
R_5d,PCR_60dim,cpi_lagm3,5.382945713534112e-05
R_5d,PCR_60dim,cpi_lagm4,6.0051972039860595e-05
R_5d,PCR_60dim,cpi_lagm5,6.560357735755963e-05
R_5d,PCR_60dim,cpi_lagm6,7.007654927431849e-05
R_5d,PCR_60dim,cpi_lagm7,7.213233793497335e-05
R_5d,PCR_60dim,cpi_lagm8,7.208340423367893e-05
R_5d,PCR_60dim,cpi_lagm9,7.03437870361135e-05
R_5d,PCR_60dim,cpi_lagm10,6.486293010752278e-05
R_5d,PCR_60dim,cpi_lagm11,5.800727424362082e-05
R_5d,PCR_60dim,cpi_lagm12,5.0066542269146854e-05
R_5d,PCR_60dim,ppi_lagm1,6.693795633354064e-05
R_5d,PCR_60dim,ppi_lagm2,6.298760181381972e-05
R_5d,PCR_60dim,ppi_lagm3,5.641029865466074e-05
R_5d,PCR_60dim,ppi_lagm4,4.841256467044813e-05
R_5d,PCR_60dim,ppi_lagm5,4.008926468148627e-05
R_5d,PCR_60dim,ppi_lagm6,3.159805054734551e-05
R_5d,PCR_60dim,ppi_lagm7,2.3997951511712907e-05
R_5d,PCR_60dim,ppi_lagm8,1.7033338582772944e-05
R_5d,PCR_60dim,ppi_lagm9,1.0608717625210401e-05
R_5d,PCR_60dim,ppi_lagm10,4.636020848806789e-06
R_5d,PCR_60dim,ppi_lagm11,6.569076958875735e-07
R_5d,PCR_60dim,ppi_lagm12,5.784005800216018e-06
R_5d,PCR_60dim,m2_growth_lagm1,4.199758005786506e-06
R_5d,PCR_60dim,m2_growth_lagm2,5.486252712292688e-06
R_5d,PCR_60dim,m2_growth_lagm3,1.6328921872908743e-05
