date,market_return,abnormal_return,abs_ar,hs300_close,hs300_volume,ivix,north_flow,margin_balance,usd_cny,gdp_growth,cpi,ppi,m2_growth,epu,volatility_20d,volatility_60d,momentum_5d,momentum_10d,momentum_20d,volume_ratio_5d,volume_ratio_20d,intraday_range,sentiment_zscore,sentiment_level,amihud
2018-04-17,-0.0158110176186435,-0.0017136379399977,0.0017136379399977,3748.641,9061079000,25.32,6.87619999999999,9932.9,627.71,12.4,2.1,3.1,8.2,291.30698,0.0111744995766971,0.0121660335291245,-0.046189113394196,-0.038650987788805,-0.0775611248450196,0.9935278731008712,0.8994677846085164,0.0205893282392206,-0.1198089251620981,中性,0.0174493761931041
2018-04-18,0.0047059721109596,-0.0033160782562475,0.0033160782562475,3766.282,10667670600,24.9,72.2168,9930.8,628.17,12.4,2.1,3.1,8.2,291.30698,0.0111868549534879,0.0121936021191101,-0.0443274264726079,-0.0309748974425659,-0.0772494183222396,1.1833272586659485,1.045881657266756,0.0216531847588683,-1.9769850214253832,恐惧,0.0044114336554033
2018-04-19,0.0120970761084804,0.0036940844532458,0.0036940844532458,3811.843,9905406000,23.3,52.66439999999999,9914.3,628.32,12.4,2.1,3.1,8.2,291.30698,0.0117068539473195,0.0122627343468137,-0.0221479375321319,-0.0125903221605756,-0.066000596910086,1.0603009167160455,0.9624434367885216,0.0147527062368518,-0.4912435079136975,中性,0.0122125999767
2018-04-20,-0.0133764690728342,0.0013259601496913,0.0013259601496913,3760.854,9928292500,22.6,-11.6035,9859.4,628.97,12.4,2.1,3.1,8.2,291.30698,0.0119220286463573,0.0123538043580202,-0.0284729642411644,-0.0239947421872012,-0.0752929048961912,1.0031775257606288,0.963883545669548,0.0173739794206315,-0.1989260902668223,中性,0.0134730811696314
2018-04-23,0.0014549886807624,0.0026045737590113,0.0026045737590113,3766.326,9035629100,22.51,23.3335,9871.6,630.34,12.4,2.1,3.1,8.2,291.30698,0.0118811232589225,0.0123235987010456,-0.0109294497912753,-0.0220380495548327,-0.0638156313383649,0.9296282508065976,0.8766830978596791,0.0138625811998217,0.0140797859470732,中性,0.0016102793338013
2018-04-24,0.020487605162166,0.0006327284537308,0.0006327284537308,3843.489,11421952500,22.56,39.0022,9856.1,632.29,12.4,2.1,3.1,8.2,291.30698,0.0114032131578145,0.0126451130183662,0.0253691729895343,-0.0208199404046617,-0.0146208169264546,1.1207013040007514,1.1447935352264007,0.0219982417017455,0.5144804791465393,中性,0.0179370428673784
2018-04-25,-0.0038472856303217,-0.0003467245753658,0.0003467245753658,3828.702,7817261200,22.3,13.791,9868.6,630.66,12.4,2.1,3.1,8.2,291.30698,0.0113502316058256,0.0125192568512315,0.0168159152482528,-0.027511511224355,-0.0120549372705848,0.8124608425822297,0.798293024895878,0.0056572697483376,-1.0135589219180274,恐惧,0.0049215262633437
2018-04-26,-0.019120840431039,-0.0053477942157723,0.0053477942157723,3755.494,8715064100,22.6,-30.9994,9859.7,632.83,12.4,2.1,3.1,8.2,291.30698,0.0118487967140832,0.0125999388197305,-0.0144020012912665,-0.0365499388233985,-0.0397780767856449,0.9287509123804952,0.9022066500716868,0.0223214309488977,0.0800445816732904,中性,0.0219399882911234
2018-04-27,0.000368260473855,-0.0019738304976151,0.0019738304976151,3756.877,8953172600,23.39,25.0302,9787.6,633.93,12.4,2.1,3.1,8.2,291.30698,0.0112362862185065,0.012593830706276,-0.0006572717445771,-0.0291302359857416,-0.02138064428196,0.9743766305434532,0.9326314119150072,0.0165911739990423,-0.1684221722947778,中性,0.0004113184122632
2018-05-02,0.0018017624745234,0.0021440468969808,0.0021440468969808,3763.646,8330103500,25.13,45.6991,9780.8,636.7,12.4,2.1,3.1,8.2,374.10382,0.0107415324729312,0.0125991125010637,-0.0003104979508161,-0.0112399477420914,-0.0329376624198992,0.92070666756365,0.883056287768351,0.0113599950686116,-0.1661482258586434,中性,0.002162953286863
